,province,procedure,wait_time_metric,Data year,metric_result
118,Alberta,Knee Replacement,% meeting benchmark,2012,79
119,Alberta,Knee Replacement,50th percentile,2012,104
120,Alberta,Knee Replacement,90th percentile,2012,301
121,Alberta,Knee Replacement,Volume,2012,2850
122,Alberta,Radiation Therapy,% meeting benchmark,2012,97
123,Alberta,Radiation Therapy,50th percentile,2012,7
124,Alberta,Radiation Therapy,90th percentile,2012,22
125,Alberta,Radiation Therapy,Volume,2012,3564
126,Alberta,Hip Fracture Repair,% meeting benchmark,2012,80
127,Alberta,Hip Fracture Repair,50th percentile,2012,24
128,Alberta,Hip Fracture Repair,90th percentile,2012,69
129,Alberta,Hip Fracture Repair,Volume,2012,1213
130,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2012,74
131,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2012,30
132,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2012,74
133,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,1048
134,Alberta,Cataract Surgery,% meeting benchmark,2012,69
135,Alberta,Cataract Surgery,50th percentile,2012,78
136,Alberta,Cataract Surgery,90th percentile,2012,209
137,Alberta,Cataract Surgery,Volume,2012,10557
138,Alberta,CABG,50th percentile,2012,11
139,Alberta,CABG,90th percentile,2012,84
140,Alberta,CABG,Volume,2012,466
141,Alberta,MRI Scan,50th percentile,2012,85
142,Alberta,MRI Scan,90th percentile,2012,261
143,Alberta,MRI Scan,Volume,2012,29240
144,Alberta,CT Scan,50th percentile,2012,14
145,Alberta,CT Scan,90th percentile,2012,36
146,Alberta,CT Scan,Volume,2012,42978
147,Alberta,Hip Replacement,% meeting benchmark,2013,80
148,Alberta,Hip Replacement,50th percentile,2013,108
149,Alberta,Hip Replacement,90th percentile,2013,252
150,Alberta,Hip Replacement,Volume,2013,1865
151,Alberta,Knee Replacement,% meeting benchmark,2013,72
152,Alberta,Knee Replacement,50th percentile,2013,127
153,Alberta,Knee Replacement,90th percentile,2013,294
154,Alberta,Knee Replacement,Volume,2013,2962
155,Alberta,Radiation Therapy,% meeting benchmark,2013,98
156,Alberta,Radiation Therapy,50th percentile,2013,7
157,Alberta,Radiation Therapy,90th percentile,2013,21
158,Alberta,Radiation Therapy,Volume,2013,3556
159,Alberta,Hip Fracture Repair,% meeting benchmark,2013,85
160,Alberta,Hip Fracture Repair,50th percentile,2013,22
161,Alberta,Hip Fracture Repair,90th percentile,2013,60
162,Alberta,Hip Fracture Repair,Volume,2013,1300
163,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2013,76
164,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2013,28
165,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2013,69
166,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,1122
167,Alberta,Cataract Surgery,% meeting benchmark,2013,66
168,Alberta,Cataract Surgery,50th percentile,2013,79
169,Alberta,Cataract Surgery,90th percentile,2013,212
170,Alberta,Cataract Surgery,Volume,2013,10514
171,Alberta,CABG,50th percentile,2013,12
172,Alberta,CABG,90th percentile,2013,101
173,Alberta,CABG,Volume,2013,465
174,Alberta,MRI Scan,50th percentile,2013,80
175,Alberta,MRI Scan,90th percentile,2013,247
176,Alberta,MRI Scan,Volume,2013,55288
177,Alberta,CT Scan,50th percentile,2013,13
178,Alberta,CT Scan,90th percentile,2013,43
179,Alberta,CT Scan,Volume,2013,65318
180,Alberta,Breast Cancer Surgery,50th percentile,2013,15
181,Alberta,Breast Cancer Surgery,90th percentile,2013,40
182,Alberta,Breast Cancer Surgery,Volume,2013,1169
183,Alberta,Bladder Cancer Surgery,50th percentile,2013,28
184,Alberta,Bladder Cancer Surgery,90th percentile,2013,57
185,Alberta,Bladder Cancer Surgery,Volume,2013,477
186,Alberta,Colorectal Cancer Surgery,50th percentile,2013,20
187,Alberta,Colorectal Cancer Surgery,90th percentile,2013,46
188,Alberta,Colorectal Cancer Surgery,Volume,2013,476
189,Alberta,Lung Cancer Surgery,50th percentile,2013,41
190,Alberta,Lung Cancer Surgery,90th percentile,2013,85
191,Alberta,Lung Cancer Surgery,Volume,2013,253
192,Alberta,Prostate Cancer Surgery,50th percentile,2013,41
193,Alberta,Prostate Cancer Surgery,90th percentile,2013,86
194,Alberta,Prostate Cancer Surgery,Volume,2013,633
195,Alberta,Hip Replacement,% meeting benchmark,2014,87
196,Alberta,Hip Replacement,50th percentile,2014,90
197,Alberta,Hip Replacement,90th percentile,2014,204
198,Alberta,Hip Replacement,Volume,2014,1890
199,Alberta,Knee Replacement,% meeting benchmark,2014,81
200,Alberta,Knee Replacement,50th percentile,2014,99
201,Alberta,Knee Replacement,90th percentile,2014,238
202,Alberta,Knee Replacement,Volume,2014,2922
203,Alberta,Radiation Therapy,% meeting benchmark,2014,97
204,Alberta,Radiation Therapy,50th percentile,2014,7
205,Alberta,Radiation Therapy,90th percentile,2014,23
206,Alberta,Radiation Therapy,Volume,2014,3732
207,Alberta,Hip Fracture Repair,% meeting benchmark,2014,82
208,Alberta,Hip Fracture Repair,50th percentile,2014,23
209,Alberta,Hip Fracture Repair,90th percentile,2014,61
210,Alberta,Hip Fracture Repair,Volume,2014,1373
211,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2014,75
212,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2014,30
213,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2014,69
214,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,1238
215,Alberta,Cataract Surgery,% meeting benchmark,2014,71
216,Alberta,Cataract Surgery,50th percentile,2014,73
217,Alberta,Cataract Surgery,90th percentile,2014,202
218,Alberta,Cataract Surgery,Volume,2014,11348
219,Alberta,CABG,50th percentile,2014,6
220,Alberta,CABG,90th percentile,2014,60
221,Alberta,CABG,Volume,2014,542
222,Alberta,MRI Scan,50th percentile,2014,60
223,Alberta,MRI Scan,90th percentile,2014,214
224,Alberta,MRI Scan,Volume,2014,61371
225,Alberta,CT Scan,50th percentile,2014,12
226,Alberta,CT Scan,90th percentile,2014,44
227,Alberta,CT Scan,Volume,2014,67521
228,Alberta,Breast Cancer Surgery,50th percentile,2014,20
229,Alberta,Breast Cancer Surgery,90th percentile,2014,47
230,Alberta,Breast Cancer Surgery,Volume,2014,1169
231,Alberta,Bladder Cancer Surgery,50th percentile,2014,29
232,Alberta,Bladder Cancer Surgery,90th percentile,2014,64
233,Alberta,Bladder Cancer Surgery,Volume,2014,488
234,Alberta,Colorectal Cancer Surgery,50th percentile,2014,24
235,Alberta,Colorectal Cancer Surgery,90th percentile,2014,56
236,Alberta,Colorectal Cancer Surgery,Volume,2014,518
237,Alberta,Lung Cancer Surgery,50th percentile,2014,35
238,Alberta,Lung Cancer Surgery,90th percentile,2014,68
239,Alberta,Lung Cancer Surgery,Volume,2014,259
240,Alberta,Prostate Cancer Surgery,50th percentile,2014,39
241,Alberta,Prostate Cancer Surgery,90th percentile,2014,87
242,Alberta,Prostate Cancer Surgery,Volume,2014,567
243,Alberta,Hip Replacement,% meeting benchmark,2015,83
244,Alberta,Hip Replacement,50th percentile,2015,93
245,Alberta,Hip Replacement,90th percentile,2015,209
246,Alberta,Hip Replacement,Volume,2015,1895
247,Alberta,Knee Replacement,% meeting benchmark,2015,79
248,Alberta,Knee Replacement,50th percentile,2015,106
249,Alberta,Knee Replacement,90th percentile,2015,237
250,Alberta,Knee Replacement,Volume,2015,3108
251,Alberta,Radiation Therapy,% meeting benchmark,2015,98
252,Alberta,Radiation Therapy,50th percentile,2015,7
253,Alberta,Radiation Therapy,90th percentile,2015,20
254,Alberta,Radiation Therapy,Volume,2015,3897
255,Alberta,Hip Fracture Repair,% meeting benchmark,2015,86
256,Alberta,Hip Fracture Repair,50th percentile,2015,22
257,Alberta,Hip Fracture Repair,90th percentile,2015,59
258,Alberta,Hip Fracture Repair,Volume,2015,1359
259,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2015,79
260,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2015,27
261,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2015,65
262,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,1201
263,Alberta,Cataract Surgery,% meeting benchmark,2015,64
264,Alberta,Cataract Surgery,50th percentile,2015,87
265,Alberta,Cataract Surgery,90th percentile,2015,224
266,Alberta,Cataract Surgery,Volume,2015,11145
267,Alberta,CABG,50th percentile,2015,6
268,Alberta,CABG,90th percentile,2015,41
269,Alberta,CABG,Volume,2015,540
270,Alberta,MRI Scan,50th percentile,2015,90
271,Alberta,MRI Scan,90th percentile,2015,172
272,Alberta,MRI Scan,Volume,2015,60651
273,Alberta,CT Scan,50th percentile,2015,17
274,Alberta,CT Scan,90th percentile,2015,56
275,Alberta,CT Scan,Volume,2015,68400
276,Alberta,Breast Cancer Surgery,50th percentile,2015,20
277,Alberta,Breast Cancer Surgery,90th percentile,2015,50
278,Alberta,Breast Cancer Surgery,Volume,2015,1240
279,Alberta,Bladder Cancer Surgery,50th percentile,2015,28
280,Alberta,Bladder Cancer Surgery,90th percentile,2015,70
281,Alberta,Bladder Cancer Surgery,Volume,2015,542
282,Alberta,Colorectal Cancer Surgery,50th percentile,2015,27
283,Alberta,Colorectal Cancer Surgery,90th percentile,2015,70
284,Alberta,Colorectal Cancer Surgery,Volume,2015,495
285,Alberta,Lung Cancer Surgery,50th percentile,2015,31
286,Alberta,Lung Cancer Surgery,90th percentile,2015,62
287,Alberta,Lung Cancer Surgery,Volume,2015,296
288,Alberta,Prostate Cancer Surgery,50th percentile,2015,43
289,Alberta,Prostate Cancer Surgery,90th percentile,2015,109
290,Alberta,Prostate Cancer Surgery,Volume,2015,546
291,Alberta,Hip Replacement,% meeting benchmark,2016,82
292,Alberta,Hip Replacement,50th percentile,2016,91
293,Alberta,Hip Replacement,90th percentile,2016,218
294,Alberta,Hip Replacement,Volume,2016,2043
295,Alberta,Knee Replacement,% meeting benchmark,2016,77
296,Alberta,Knee Replacement,50th percentile,2016,113
297,Alberta,Knee Replacement,90th percentile,2016,253
298,Alberta,Knee Replacement,Volume,2016,3174
299,Alberta,Radiation Therapy,% meeting benchmark,2016,99
300,Alberta,Radiation Therapy,50th percentile,2016,7
301,Alberta,Radiation Therapy,90th percentile,2016,20
302,Alberta,Radiation Therapy,Volume,2016,4071
303,Alberta,Hip Fracture Repair,% meeting benchmark,2016,91
304,Alberta,Hip Fracture Repair,50th percentile,2016,20
305,Alberta,Hip Fracture Repair,90th percentile,2016,47
306,Alberta,Hip Fracture Repair,Volume,2016,1422
307,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2016,86
308,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2016,25
309,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2016,51
310,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,1261
311,Alberta,Cataract Surgery,% meeting benchmark,2016,58
312,Alberta,Cataract Surgery,50th percentile,2016,92
313,Alberta,Cataract Surgery,90th percentile,2016,243
314,Alberta,Cataract Surgery,Volume,2016,11770
315,Alberta,CABG,50th percentile,2016,6
316,Alberta,CABG,90th percentile,2016,42
317,Alberta,CABG,Volume,2016,524
318,Alberta,MRI Scan,50th percentile,2016,85
319,Alberta,MRI Scan,90th percentile,2016,242
320,Alberta,MRI Scan,Volume,2016,59916
321,Alberta,CT Scan,50th percentile,2016,27
322,Alberta,CT Scan,90th percentile,2016,92
323,Alberta,CT Scan,Volume,2016,80876
324,Alberta,Breast Cancer Surgery,50th percentile,2016,20
325,Alberta,Breast Cancer Surgery,90th percentile,2016,49
326,Alberta,Breast Cancer Surgery,Volume,2016,1074
327,Alberta,Bladder Cancer Surgery,50th percentile,2016,30
328,Alberta,Bladder Cancer Surgery,90th percentile,2016,70
329,Alberta,Bladder Cancer Surgery,Volume,2016,448
330,Alberta,Colorectal Cancer Surgery,50th percentile,2016,27
331,Alberta,Colorectal Cancer Surgery,90th percentile,2016,68
332,Alberta,Colorectal Cancer Surgery,Volume,2016,419
333,Alberta,Lung Cancer Surgery,50th percentile,2016,33
334,Alberta,Lung Cancer Surgery,90th percentile,2016,63
335,Alberta,Lung Cancer Surgery,Volume,2016,290
336,Alberta,Prostate Cancer Surgery,50th percentile,2016,48
337,Alberta,Prostate Cancer Surgery,90th percentile,2016,116
338,Alberta,Prostate Cancer Surgery,Volume,2016,571
339,Alberta,Hip Replacement,% meeting benchmark,2017,73.2
340,Alberta,Hip Replacement,50th percentile,2017,121
341,Alberta,Hip Replacement,90th percentile,2017,251
342,Alberta,Hip Replacement,Volume,2017,2024
343,Alberta,Knee Replacement,% meeting benchmark,2017,66.6
344,Alberta,Knee Replacement,50th percentile,2017,143
345,Alberta,Knee Replacement,90th percentile,2017,280
346,Alberta,Knee Replacement,Volume,2017,3035
347,Alberta,Radiation Therapy,% meeting benchmark,2017,99
348,Alberta,Radiation Therapy,50th percentile,2017,6
349,Alberta,Radiation Therapy,90th percentile,2017,18
350,Alberta,Radiation Therapy,Volume,2017,4065
351,Alberta,Hip Fracture Repair,% meeting benchmark,2017,92.30182927
352,Alberta,Hip Fracture Repair,50th percentile,2017,18.575
353,Alberta,Hip Fracture Repair,90th percentile,2017,44.5
354,Alberta,Hip Fracture Repair,Volume,2017,1312
355,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2017,88.50380389
356,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2017,25.11666667
357,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2017,50.2
358,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2017,1183
359,Alberta,Cataract Surgery,% meeting benchmark,2017,55.6
360,Alberta,Cataract Surgery,50th percentile,2017,99
361,Alberta,Cataract Surgery,90th percentile,2017,260
362,Alberta,Cataract Surgery,Volume,2017,11389
363,Alberta,CABG,50th percentile,2017,10
364,Alberta,CABG,90th percentile,2017,56
365,Alberta,CABG,Volume,2017,503
366,Alberta,MRI Scan,50th percentile,2017,95
367,Alberta,MRI Scan,90th percentile,2017,277
368,Alberta,MRI Scan,Volume,2017,60247
369,Alberta,CT Scan,50th percentile,2017,30
370,Alberta,CT Scan,90th percentile,2017,110
371,Alberta,CT Scan,Volume,2017,75374
372,Alberta,Breast Cancer Surgery,50th percentile,2017,19
373,Alberta,Breast Cancer Surgery,90th percentile,2017,48
374,Alberta,Breast Cancer Surgery,Volume,2017,1273
375,Alberta,Bladder Cancer Surgery,50th percentile,2017,30
376,Alberta,Bladder Cancer Surgery,90th percentile,2017,68.8
377,Alberta,Bladder Cancer Surgery,Volume,2017,573
378,Alberta,Colorectal Cancer Surgery,50th percentile,2017,28
379,Alberta,Colorectal Cancer Surgery,90th percentile,2017,67
380,Alberta,Colorectal Cancer Surgery,Volume,2017,473
381,Alberta,Lung Cancer Surgery,50th percentile,2017,29
382,Alberta,Lung Cancer Surgery,90th percentile,2017,57.2
383,Alberta,Lung Cancer Surgery,Volume,2017,309
384,Alberta,Prostate Cancer Surgery,50th percentile,2017,48
385,Alberta,Prostate Cancer Surgery,90th percentile,2017,122
386,Alberta,Prostate Cancer Surgery,Volume,2017,634
387,Alberta,Hip Replacement,% meeting benchmark,2018,70.1
388,Alberta,Hip Replacement,50th percentile,2018,129
389,Alberta,Hip Replacement,90th percentile,2018,265
390,Alberta,Hip Replacement,Volume,2018,2250
391,Alberta,Knee Replacement,% meeting benchmark,2018,66.2
392,Alberta,Knee Replacement,50th percentile,2018,131
393,Alberta,Knee Replacement,90th percentile,2018,298
394,Alberta,Knee Replacement,Volume,2018,3287
395,Alberta,Radiation Therapy,% meeting benchmark,2018,99.5
396,Alberta,Radiation Therapy,50th percentile,2018,7
397,Alberta,Radiation Therapy,90th percentile,2018,19
398,Alberta,Radiation Therapy,Volume,2018,4240
399,Alberta,Hip Fracture Repair,% meeting benchmark,2018,93.99571122
400,Alberta,Hip Fracture Repair,50th percentile,2018,17.36666667
401,Alberta,Hip Fracture Repair,90th percentile,2018,41.46666667
402,Alberta,Hip Fracture Repair,Volume,2018,1399
403,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2018,90.33778476
404,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2018,23.93333333
405,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2018,47.53333333
406,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2018,1273
407,Alberta,Cataract Surgery,% meeting benchmark,2018,48.7
408,Alberta,Cataract Surgery,50th percentile,2018,116
409,Alberta,Cataract Surgery,90th percentile,2018,320
410,Alberta,Cataract Surgery,Volume,2018,11684
411,Alberta,CABG,50th percentile,2018,7.98
412,Alberta,CABG,90th percentile,2018,98
413,Alberta,CABG,Volume,2018,533
414,Alberta,MRI Scan,50th percentile,2018,77
415,Alberta,MRI Scan,90th percentile,2018,279
416,Alberta,MRI Scan,Volume,2018,61701
417,Alberta,CT Scan,50th percentile,2018,22
418,Alberta,CT Scan,90th percentile,2018,114
419,Alberta,CT Scan,Volume,2018,81297
420,Alberta,Breast Cancer Surgery,50th percentile,2018,20
421,Alberta,Breast Cancer Surgery,90th percentile,2018,59
422,Alberta,Breast Cancer Surgery,Volume,2018,1257
423,Alberta,Bladder Cancer Surgery,50th percentile,2018,32
424,Alberta,Bladder Cancer Surgery,90th percentile,2018,73.3
425,Alberta,Bladder Cancer Surgery,Volume,2018,528
426,Alberta,Colorectal Cancer Surgery,50th percentile,2018,23
427,Alberta,Colorectal Cancer Surgery,90th percentile,2018,56
428,Alberta,Colorectal Cancer Surgery,Volume,2018,472
429,Alberta,Lung Cancer Surgery,50th percentile,2018,34
430,Alberta,Lung Cancer Surgery,90th percentile,2018,69
431,Alberta,Lung Cancer Surgery,Volume,2018,314
432,Alberta,Prostate Cancer Surgery,50th percentile,2018,43
433,Alberta,Prostate Cancer Surgery,90th percentile,2018,97.5
434,Alberta,Prostate Cancer Surgery,Volume,2018,676
435,Alberta,Bladder Cancer Surgery,50th percentile,2019,29
436,Alberta,Bladder Cancer Surgery,90th percentile,2019,68
437,Alberta,Bladder Cancer Surgery,Volume,2019,1138
438,Alberta,Breast Cancer Surgery,50th percentile,2019,17
439,Alberta,Breast Cancer Surgery,90th percentile,2019,36
440,Alberta,Breast Cancer Surgery,Volume,2019,1927
441,Alberta,CABG,50th percentile,2019,7
442,Alberta,CABG,90th percentile,2019,63
443,Alberta,CABG,Volume,2019,549
444,Alberta,Cataract Surgery,% meeting benchmark,2019,44.3
445,Alberta,Cataract Surgery,50th percentile,2019,131
446,Alberta,Cataract Surgery,90th percentile,2019,356
447,Alberta,Cataract Surgery,Volume,2019,13409
448,Alberta,Colorectal Cancer Surgery,50th percentile,2019,24
449,Alberta,Colorectal Cancer Surgery,90th percentile,2019,52
450,Alberta,Colorectal Cancer Surgery,Volume,2019,739
451,Alberta,CT Scan,50th percentile,2019,24
452,Alberta,CT Scan,90th percentile,2019,94
453,Alberta,CT Scan,Volume,2019,83664
454,Alberta,Hip Fracture Repair,% meeting benchmark,2019,91.30146082
455,Alberta,Hip Fracture Repair,50th percentile,2019,18.45833333
456,Alberta,Hip Fracture Repair,90th percentile,2019,45.61666667
457,Alberta,Hip Fracture Repair,Volume,2019,1506
458,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2019,86.6567828
459,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2019,24.58333333
460,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2019,52.4
461,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,1349
462,Alberta,Hip Replacement,% meeting benchmark,2019,63.8
463,Alberta,Hip Replacement,50th percentile,2019,141
464,Alberta,Hip Replacement,90th percentile,2019,273
465,Alberta,Hip Replacement,Volume,2019,2320
466,Alberta,Knee Replacement,% meeting benchmark,2019,62.1
467,Alberta,Knee Replacement,50th percentile,2019,148
468,Alberta,Knee Replacement,90th percentile,2019,315
469,Alberta,Knee Replacement,Volume,2019,3176
470,Alberta,Lung Cancer Surgery,50th percentile,2019,21
471,Alberta,Lung Cancer Surgery,90th percentile,2019,47
472,Alberta,Lung Cancer Surgery,Volume,2019,382
473,Alberta,MRI Scan,50th percentile,2019,72
474,Alberta,MRI Scan,90th percentile,2019,296
475,Alberta,MRI Scan,Volume,2019,65309
476,Alberta,Prostate Cancer Surgery,50th percentile,2019,45
477,Alberta,Prostate Cancer Surgery,90th percentile,2019,104
478,Alberta,Prostate Cancer Surgery,Volume,2019,579
479,Alberta,Radiation Therapy,% meeting benchmark,2019,97.6
480,Alberta,Radiation Therapy,50th percentile,2019,9
481,Alberta,Radiation Therapy,90th percentile,2019,21
482,Alberta,Radiation Therapy,Volume,2019,4534
483,Alberta,Bladder Cancer Surgery,50th percentile,2020,20
484,Alberta,Bladder Cancer Surgery,90th percentile,2020,63.1
485,Alberta,Bladder Cancer Surgery,Volume,2020,1008
486,Alberta,Breast Cancer Surgery,50th percentile,2020,15
487,Alberta,Breast Cancer Surgery,90th percentile,2020,34
488,Alberta,Breast Cancer Surgery,Volume,2020,1511
489,Alberta,CABG,50th percentile,2020,8
