state,medical_procedure,year,%meeting_benchmark,50th_percentile_days,90th_percentile_days,total_cases
Alberta,Hip Fracture Repair/Emergency and Inpatient,2013,76,28,69,1122
Alberta,Hip Fracture Repair/Emergency and Inpatient,2014,75,30,69,1238
Alberta,Hip Fracture Repair/Emergency and Inpatient,2015,79,27,65,1201
Alberta,Hip Fracture Repair/Emergency and Inpatient,2016,86,25,51,1261
Alberta,Hip Fracture Repair/Emergency and Inpatient,2017,88.5,25,50,1183
Alberta,Hip Fracture Repair/Emergency and Inpatient,2018,90.34,24,48,1273
Alberta,Hip Fracture Repair/Emergency and Inpatient,2019,86.66,25,52,1349
Alberta,Hip Fracture Repair/Emergency and Inpatient,2020,87.52,24,50,1354
Alberta,Hip Fracture Repair/Emergency and Inpatient,2021,86.87,26,51,1356
Alberta,Hip Replacement,2008,77,103,255,1478
Alberta,Hip Replacement,2009,81,93,250,1475
Alberta,Hip Replacement,2010,78,104,268,1481
Alberta,Hip Replacement,2011,80,101,290,1673
Alberta,Hip Replacement,2012,84,90,245,1838
Alberta,Hip Replacement,2013,80,108,252,1865
Alberta,Hip Replacement,2014,87,90,204,1890
Alberta,Hip Replacement,2015,83,93,209,1895
Alberta,Hip Replacement,2016,82,91,218,2043
Alberta,Hip Replacement,2017,73.2,121,251,2024
Alberta,Hip Replacement,2018,70.1,129,265,2250
Alberta,Hip Replacement,2019,63.8,141,273,2320
Alberta,Hip Replacement,2020,48.9,187,379,1584
Alberta,Hip Replacement,2021,59.2,155,392,2160
Alberta,Knee Replacement,2008,72,123,299,2229
Alberta,Knee Replacement,2009,71,120,352,2233
Alberta,Knee Replacement,2010,69,128,344,2342
Alberta,Knee Replacement,2011,70,124,344,2650
Alberta,Knee Replacement,2012,79,104,301,2850
Alberta,Knee Replacement,2013,72,127,294,2962
Alberta,Knee Replacement,2014,81,99,238,2922
Alberta,Knee Replacement,2015,79,106,237,3108
Alberta,Knee Replacement,2016,77,113,253,3174
Alberta,Knee Replacement,2017,66.6,143,280,3035
Alberta,Knee Replacement,2018,66.2,131,298,3287
Alberta,Knee Replacement,2019,62.1,148,315,3176
Alberta,Knee Replacement,2020,38.9,217,423,2082
Alberta,Knee Replacement,2021,49.2,186,452,2864
Alberta,Radiation Therapy,2009,74,14,38,3335
Alberta,Radiation Therapy,2010,94,8,26,3290
Alberta,Radiation Therapy,2011,98,6,22,3465
Alberta,Radiation Therapy,2012,97,7,22,3564
Alberta,Radiation Therapy,2013,98,7,21,3556
Alberta,Radiation Therapy,2014,97,7,23,3732
Alberta,Radiation Therapy,2015,98,7,20,3897
Alberta,Radiation Therapy,2016,99,7,20,4071
Alberta,Radiation Therapy,2017,99,6,18,4065
Alberta,Radiation Therapy,2018,99.5,7,19,4240
Alberta,Radiation Therapy,2019,97.6,9,21,4534
Alberta,Radiation Therapy,2020,98.7,9,20,4605
Alberta,Radiation Therapy,2021,98.8,9,20,4791
British Columbia,CABG,2010,99,19,68,931
British Columbia,CABG,2011,99,3,35,979
British Columbia,Cataract Surgery,2008,78,55,171,22035
British Columbia,Cataract Surgery,2009,77,49,195,23054
British Columbia,Cataract Surgery,2010,81,54,158,24059
British Columbia,Cataract Surgery,2011,78,52,178,25272
British Columbia,Cataract Surgery,2012,85,39,148,23652
British Columbia,Cataract Surgery,2013,83,41,154,25140
British Columbia,Cataract Surgery,2014,70,60,212,25397
British Columbia,Cataract Surgery,2015,64,72,249,26757
British Columbia,Cataract Surgery,2016,66,74,243,28155
British Columbia,Cataract Surgery,2017,62.99,78,251,29701
British Columbia,Cataract Surgery,2018,64.1,70,253,31978
British Columbia,Cataract Surgery,2019,68.7,66,231,32766
British Columbia,Cataract Surgery,2020,52.4,105,306,23197
British Columbia,Cataract Surgery,2021,76,47,217,38541
British Columbia,Hip Fracture Repair,2009,83,23,64,1777
British Columbia,Hip Fracture Repair,2010,80,25,69,2031
British Columbia,Hip Fracture Repair,2011,76,26,71,1865
British Columbia,Hip Fracture Repair,2012,81,25,66,1961
British Columbia,Hip Fracture Repair,2013,83,26,62,2032
British Columbia,Hip Fracture Repair,2014,89,25,49,2045
British Columbia,Hip Fracture Repair,2015,91,24,47,2206
British Columbia,Hip Fracture Repair,2016,86,26,56,1905
British Columbia,Hip Fracture Repair,2017,84.18,25,60,1966
British Columbia,Hip Fracture Repair,2018,84.73,27,59,1532
British Columbia,Hip Fracture Repair,2019,80.23,29,64,2226
British Columbia,Hip Fracture Repair,2020,80.63,28,65,2370
British Columbia,Hip Fracture Repair,2021,78.19,31,67,2265
British Columbia,Hip Replacement,2008,78,71,279,2192
British Columbia,Hip Replacement,2009,85,73,223,2216
British Columbia,Hip Replacement,2010,87,79,195,2162
British Columbia,Hip Replacement,2011,83,98,212,2195
British Columbia,Hip Replacement,2012,80,97,216,2436
British Columbia,Hip Replacement,2013,80,91,230,2396
British Columbia,Hip Replacement,2014,67,126,310,2581
British Columbia,Hip Replacement,2015,61,140,359,2589
British Columbia,Hip Replacement,2016,61,141,341,2929
British Columbia,Hip Replacement,2017,61.8,133,330,2830
British Columbia,Hip Replacement,2018,67,120,321,3614
British Columbia,Hip Replacement,2019,76,96,280,3587
British Columbia,Hip Replacement,2020,57.9,158,329,2466
British Columbia,Hip Replacement,2021,72.1,102,287,3440
British Columbia,Knee Replacement,2008,71,102,332,3130
British Columbia,Knee Replacement,2009,77,85,275,3241
British Columbia,Knee Replacement,2010,80,101,236,3317
British Columbia,Knee Replacement,2011,74,122,257,3349
British Columbia,Knee Replacement,2012,74,124,253,3475
British Columbia,Knee Replacement,2013,71,118,258,3407
British Columbia,Knee Replacement,2014,57,160,341,3588
British Columbia,Knee Replacement,2015,47,197,382,3800
British Columbia,Knee Replacement,2016,47,192,381,4232
British Columbia,Knee Replacement,2017,46.4,196,395,4295
British Columbia,Knee Replacement,2018,59.1,152,358,5457
British Columbia,Knee Replacement,2019,65.9,123,323,5341
British Columbia,Knee Replacement,2020,50,183,384,3569
British Columbia,Knee Replacement,2021,68.2,119,335,4604
British Columbia,Radiation Therapy,2010,92,8,25,5862
British Columbia,Radiation Therapy,2011,93,8,25,5875
British Columbia,Radiation Therapy,2012,94,8,22,6014
British Columbia,Radiation Therapy,2013,94,7,22,5827
British Columbia,Radiation Therapy,2014,95,7,22,6175
British Columbia,Radiation Therapy,2015,93,8,25,7029
British Columbia,Radiation Therapy,2016,91,8,27,6585
British Columbia,Radiation Therapy,2017,93.21,9,25,6143
British Columbia,Radiation Therapy,2018,93,9,27,6170
British Columbia,Radiation Therapy,2019,91,10,27,6510
British Columbia,Radiation Therapy,2020,90,12,28,6596
British Columbia,Radiation Therapy,2021,88,13,31,6428
Canada,CABG,2011,99,7,50,8727
Canada,Cataract Surgery,2010,82.72,52,147,157278
Canada,Cataract Surgery,2011,82.48,49,149,161524
Canada,Cataract Surgery,2012,83.32,47,145,166596
Canada,Cataract Surgery,2013,81.37,47,154,170160
Canada,Cataract Surgery,2014,80.12,49,161,168072
Canada,Cataract Surgery,2015,75.6,58,179,165133
Canada,Cataract Surgery,2016,72.5,68,194,170016
Canada,Cataract Surgery,2017,70.89,66,211,169667
Canada,Cataract Surgery,2018,70.1,65,218,177463
Canada,Cataract Surgery,2019,70.48,67,219,183017
Canada,Cataract Surgery,2020,44.91,133,310,96706
Canada,Cataract Surgery,2021,66.18,72,255,164083
Canada,Hip Fracture Repair,2009,79,25,72,9670
Canada,Hip Fracture Repair,2010,78,25,72,10164
Canada,Hip Fracture Repair,2011,79,25,68,10083
Canada,Hip Fracture Repair,2012,81,24,66,10289
Canada,Hip Fracture Repair,2013,83,24,62,10713
Canada,Hip Fracture Repair,2014,84,24,59,10680
Canada,Hip Fracture Repair,2015,87,23,54,11322
Canada,Hip Fracture Repair,2016,86,23,55,10903
Canada,Hip Fracture Repair,2017,86.69,22,54,10782
Canada,Hip Fracture Repair,2018,87.95,22,52,10564
Canada,Hip Fracture Repair,2019,85.84,23,56,11577
Canada,Hip Fracture Repair,2020,85.57,23,58,11529
Canada,Hip Fracture Repair,2021,84.65,24,58,11763
Canada,Hip Replacement,2010,84,83,226,13746
Canada,Hip Replacement,2011,83,90,240,14523
Canada,Hip Replacement,2012,81,89,238,15761
Canada,Hip Replacement,2013,82,88,231,17018
Canada,Hip Replacement,2014,82.14,89,237,17532
Canada,Hip Replacement,2015,80.86,93,246,18202
Canada,Hip Replacement,2016,78.25,98,255,19154
Canada,Hip Replacement,2017,75.67,105,277,19474
Canada,Hip Replacement,2018,75.25,105,275,21472
Canada,Hip Replacement,2019,74.95,106,271,21941
Canada,Hip Replacement,2020,56.28,165,355,13823
Canada,Hip Replacement,2021,65.21,134,369,19200
Canada,Knee Replacement,2010,80,99,258,23082
Canada,Knee Replacement,2011,76,108,276,24683
Canada,Knee Replacement,2012,76,107,271,26603
Canada,Knee Replacement,2013,77,105,264,28402
Canada,Knee Replacement,2014,78.02,101,259,28525
Canada,Knee Replacement,2015,76.55,110,265,29583
Canada,Knee Replacement,2016,72.24,118,291,31407
Canada,Knee Replacement,2017,68.38,129,311,31311
Canada,Knee Replacement,2018,69.48,122,317,34751
Canada,Knee Replacement,2019,69.52,121,314,35182
Canada,Knee Replacement,2020,47.07,197,405,19073
Canada,Knee Replacement,2021,59.2,159,425,26611
Canada,Radiation Therapy,2011,97,7,21,39481
Canada,Radiation Therapy,2012,97,7,19,40677
Canada,Radiation Therapy,2013,97,7,18,41877
Canada,Radiation Therapy,2014,98,7,18,42202
Canada,Radiation Therapy,2015,98,7,18,43767
Canada,Radiation Therapy,2016,97,8,19,44537
Canada,Radiation Therapy,2017,97.08,8,19,44109
Canada,Radiation Therapy,2018,97.07,8,20,46464
Canada,Radiation Therapy,2019,96.97,9,21,47662
Canada,Radiation Therapy,2020,97.61,10,20,45250
Canada,Radiation Therapy,2021,96.66,11,21,48052
Manitoba,CABG,2008,96,17,119,428
Manitoba,CABG,2009,100,13,107,407
Manitoba,CABG,2010,99,14,82,386
Manitoba,CABG,2011,97,15,110,357
Manitoba,Cataract Surgery,2008,77,75,151,4215
Manitoba,Cataract Surgery,2009,80,82,161,4320
Manitoba,Cataract Surgery,2010,70,82,179,4296
Manitoba,Cataract Surgery,2011,71,76,169,4519
Manitoba,Cataract Surgery,2012,61,87,257,4541
Manitoba,Cataract Surgery,2013,62,86,247,4975
Manitoba,Cataract Surgery,2014,63,78,205,4292
Manitoba,Cataract Surgery,2015,41,122,239,3173
Manitoba,Cataract Surgery,2016,34,148,289,2915
Manitoba,Cataract Surgery,2017,32,155,409,3076
Manitoba,Cataract Surgery,2018,29,167,378,2962
Manitoba,Cataract Surgery,2019,33,162,422,3769
Manitoba,Cataract Surgery,2020,21,214,448,2646
Manitoba,Cataract Surgery,2021,39,141,516,3031
Manitoba,Hip Fracture Repair,2009,78,26,76,573
Manitoba,Hip Fracture Repair,2010,82,22,70,538
Manitoba,Hip Fracture Repair,2011,85,22,57,612
Manitoba,Hip Fracture Repair,2012,86,20,63,585
Manitoba,Hip Fracture Repair,2013,89,20,50,557
Manitoba,Hip Fracture Repair,2014,91,20,47,487
Manitoba,Hip Fracture Repair,2015,92,19,46,543
Manitoba,Hip Fracture Repair,2016,91,19,45,575
Manitoba,Hip Fracture Repair,2017,93.3,20,42,552
Manitoba,Hip Fracture Repair,2018,92.13,19,43,559
Manitoba,Hip Fracture Repair,2019,93.08,19,44,607
Manitoba,Hip Fracture Repair,2020,91.48,18,45,610
Manitoba,Hip Fracture Repair,2021,89.1,20,51,587
Manitoba,Hip Replacement,2008,64,139,362,646
Manitoba,Hip Replacement,2009,63,124,335,564
Manitoba,Hip Replacement,2010,61,141,365,730
Manitoba,Hip Replacement,2011,59,146,382,662
Manitoba,Hip Replacement,2012,56,160,346,665
Manitoba,Hip Replacement,2013,68,119,299,628
Manitoba,Hip Replacement,2014,71,104,248,660
Manitoba,Hip Replacement,2015,69,118,339,633
Manitoba,Hip Replacement,2016,66,136,348,697
Manitoba,Hip Replacement,2017,53,169,414,710
Manitoba,Hip Replacement,2018,49,186,413,748
Manitoba,Hip Replacement,2019,55,163,368,842
Manitoba,Hip Replacement,2020,47,196,389,719
Manitoba,Hip Replacement,2021,55,169,444,687
Manitoba,Knee Replacement,2008,52,174,479,1052
Manitoba,Knee Replacement,2009,56,160,470,878
Manitoba,Knee Replacement,2010,53,172,420,976
Manitoba,Knee Replacement,2011,52,176,420,1049
Manitoba,Knee Replacement,2012,46,198,397,1015
Manitoba,Knee Replacement,2013,58,157,344,1127
Manitoba,Knee Replacement,2014,71,112,274,1058
Manitoba,Knee Replacement,2015,64,138,363,1000
Manitoba,Knee Replacement,2016,58,160,412,1084
Manitoba,Knee Replacement,2017,43,203,435,1148
Manitoba,Knee Replacement,2018,37,230,451,1258
Manitoba,Knee Replacement,2019,46,203,418,1372
Manitoba,Knee Replacement,2020,37,238,463,1150
Manitoba,Knee Replacement,2021,38,237,566,926
Manitoba,Radiation Therapy,2008,99,5,23,1507
Manitoba,Radiation Therapy,2009,100,6,25,1418
Manitoba,Radiation Therapy,2010,100,6,24,1293
Manitoba,Radiation Therapy,2011,100,6,23,1385
Manitoba,Radiation Therapy,2012,100,6,22,1550
Manitoba,Radiation Therapy,2013,100,7,22,1563
Manitoba,Radiation Therapy,2014,100,7,21,1564
Manitoba,Radiation Therapy,2015,100,7,22,1607
Manitoba,Radiation Therapy,2016,100,10,22,1503
Manitoba,Radiation Therapy,2017,100,12,25,1656
Manitoba,Radiation Therapy,2018,100,9,25,1741
Manitoba,Radiation Therapy,2019,100,9,26,1804
Manitoba,Radiation Therapy,2020,100,9,24,1850
Manitoba,Radiation Therapy,2021,100,13,23,1780
New Brunswick,CABG,2008,95,3,131,214
New Brunswick,CABG,2009,98,6,111,218
New Brunswick,CABG,2010,100,5,63,234
New Brunswick,CABG,2011,99,7,57,204
New Brunswick,Cataract Surgery,2008,74,57,194,4460
New Brunswick,Cataract Surgery,2009,84,45,135,4634
New Brunswick,Cataract Surgery,2010,89,44,119,4712
New Brunswick,Cataract Surgery,2011,85,35,158,5108
New Brunswick,Cataract Surgery,2012,85,33,160,4948
New Brunswick,Cataract Surgery,2013,88,25,134,5214
New Brunswick,Cataract Surgery,2014,86,43,137,5320
New Brunswick,Cataract Surgery,2015,80,48,161,5362
New Brunswick,Cataract Surgery,2016,68,64,194,5310
New Brunswick,Cataract Surgery,2017,73,55,218,5682
New Brunswick,Cataract Surgery,2018,67,58,230,5678
New Brunswick,Cataract Surgery,2019,66,70,226,5908
New Brunswick,Cataract Surgery,2020,53,98,292,4540
New Brunswick,Cataract Surgery,2021,71,51,222,6147
New Brunswick,Hip Fracture Repair,2009,82,19,69,323
New Brunswick,Hip Fracture Repair,2010,78,21,79,355
New Brunswick,Hip Fracture Repair,2011,83,20,66,344
New Brunswick,Hip Fracture Repair,2012,80,19,72,343
New Brunswick,Hip Fracture Repair,2013,84,20,54,355
New Brunswick,Hip Fracture Repair,2014,83,19,66,363
New Brunswick,Hip Fracture Repair,2015,86,21,58,407
New Brunswick,Hip Fracture Repair,2016,89,19,52,361
New Brunswick,Hip Fracture Repair,2017,89.74,17,48,390
New Brunswick,Hip Fracture Repair,2018,90.48,19,47,336
New Brunswick,Hip Fracture Repair,2019,89.22,18,49,436
New Brunswick,Hip Fracture Repair,2020,91.11,18,47,371
New Brunswick,Hip Fracture Repair,2021,83.46,22,58,387
New Brunswick,Hip Replacement,2008,66,140,309,300
New Brunswick,Hip Replacement,2009,76,94,250,315
New Brunswick,Hip Replacement,2010,79,86,232,312
New Brunswick,Hip Replacement,2011,72,120,327,375
New Brunswick,Hip Replacement,2012,72,112,290,369
New Brunswick,Hip Replacement,2013,69,109,336,389
New Brunswick,Hip Replacement,2014,65,127,383,366
New Brunswick,Hip Replacement,2015,62,134,456,424
New Brunswick,Hip Replacement,2016,55,164,406,505
New Brunswick,Hip Replacement,2017,56,162,386,508
New Brunswick,Hip Replacement,2018,55,170,406,509
New Brunswick,Hip Replacement,2019,48,195,378,532
New Brunswick,Hip Replacement,2020,29,268,547,446
New Brunswick,Hip Replacement,2021,54,168,484,572
New Brunswick,Knee Replacement,2008,55,167,408,538
New Brunswick,Knee Replacement,2009,63,137,340,575
New Brunswick,Knee Replacement,2010,67,119,314,543
New Brunswick,Knee Replacement,2011,53,172,389,684
New Brunswick,Knee Replacement,2012,61,143,340,665
New Brunswick,Knee Replacement,2013,60,143,352,682
New Brunswick,Knee Replacement,2014,48,188,480,731
New Brunswick,Knee Replacement,2015,55,161,400,841
New Brunswick,Knee Replacement,2016,50,180,480,925
New Brunswick,Knee Replacement,2017,46,201,451,903
New Brunswick,Knee Replacement,2018,43,209,510,935
New Brunswick,Knee Replacement,2019,44,197,485,938
New Brunswick,Knee Replacement,2020,25,296,568,650
New Brunswick,Knee Replacement,2021,45,207,499,915
New Brunswick,Radiation Therapy,2012,94,7,24,1023
New Brunswick,Radiation Therapy,2013,97,7,20,1052
New Brunswick,Radiation Therapy,2014,97,7,19,931
New Brunswick,Radiation Therapy,2015,99,6,17,825
New Brunswick,Radiation Therapy,2016,98,7,19,947
New Brunswick,Radiation Therapy,2017,96.9,8,20,973
New Brunswick,Radiation Therapy,2018,95.2,11,24,1019
New Brunswick,Radiation Therapy,2019,92.8,12,27,1048
New Brunswick,Radiation Therapy,2020,95.3,10,23,1034
New Brunswick,Radiation Therapy,2021,91.6,13,28,1159
Newfoundland and Labrador,CABG,2009,98,8,136,185
Newfoundland and Labrador,CABG,2010,100,9,84,179
Newfoundland and Labrador,CABG,2011,100,5,48,184
Newfoundland and Labrador,Cataract Surgery,2010,80,58,144,2256
Newfoundland and Labrador,Cataract Surgery,2011,71,73,176,1427
Newfoundland and Labrador,Cataract Surgery,2012,82,52,149,2484
Newfoundland and Labrador,Cataract Surgery,2013,95,35,103,1278
Newfoundland and Labrador,Cataract Surgery,2014,96,39,95,1479
Newfoundland and Labrador,Cataract Surgery,2015,96,40,97,1761
Newfoundland and Labrador,Cataract Surgery,2016,90,65,112,2053
Newfoundland and Labrador,Cataract Surgery,2017,87,63,118,1610
Newfoundland and Labrador,Cataract Surgery,2018,77,85,153,1493
Newfoundland and Labrador,Cataract Surgery,2019,63,95,209,1263
Newfoundland and Labrador,Cataract Surgery,2020,33,264,474,527
Newfoundland and Labrador,Cataract Surgery,2021,42,146,279,1077
Newfoundland and Labrador,Hip Fracture Repair,2011,87,22,54,227
Newfoundland and Labrador,Hip Fracture Repair,2012,81,26,62,182
Newfoundland and Labrador,Hip Fracture Repair,2013,82,19,64,185
Newfoundland and Labrador,Hip Fracture Repair,2014,75,30,93,188
Newfoundland and Labrador,Hip Fracture Repair,2015,85,22,64,234
Newfoundland and Labrador,Hip Fracture Repair,2016,90,20,48,181
Newfoundland and Labrador,Hip Fracture Repair,2017,87.15,20,50,249
Newfoundland and Labrador,Hip Fracture Repair,2018,90.32,20,45,155
Newfoundland and Labrador,Hip Fracture Repair,2019,85.43,21,60,247
Newfoundland and Labrador,Hip Fracture Repair,2020,85.66,25,65,258
Newfoundland and Labrador,Hip Fracture Repair,2021,90.05,24,47,201
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2010,78,26,60,188
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2011,91,24,48,229
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2012,88,30,49,210
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2013,85,26,51,217
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2014,84,27,52,227
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2015,92,24,46,238
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2016,97,22,44,233
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2017,92,22,46,250
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2018,99,21,38,221
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2019,98,22,37,195
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2020,95,25,44,174
Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,2021,99,23,39,175
Newfoundland and Labrador,Hip Replacement,2010,75,90,360,143
Newfoundland and Labrador,Hip Replacement,2011,82,93,334,206
Newfoundland and Labrador,Hip Replacement,2012,83,89,260,195
Newfoundland and Labrador,Hip Replacement,2013,92,82,177,243
Newfoundland and Labrador,Hip Replacement,2014,96,86,161,248
Newfoundland and Labrador,Hip Replacement,2015,94,83,173,245
Newfoundland and Labrador,Hip Replacement,2016,77,100,241,252
Newfoundland and Labrador,Hip Replacement,2017,84,81,225,304
Newfoundland and Labrador,Hip Replacement,2018,88,92,187,279
Newfoundland and Labrador,Hip Replacement,2019,76,113,229,303
Newfoundland and Labrador,Hip Replacement,2020,45,204,380,163
Newfoundland and Labrador,Hip Replacement,2021,57,165,502,241
Newfoundland and Labrador,Knee Replacement,2010,67,113,438,358
Newfoundland and Labrador,Knee Replacement,2011,62,139,469,413
Newfoundland and Labrador,Knee Replacement,2012,81,105,250,438
Newfoundland and Labrador,Knee Replacement,2013,93,77,170,439
Newfoundland and Labrador,Knee Replacement,2014,92,98,176,402
Newfoundland and Labrador,Knee Replacement,2015,87,99,186,447
Newfoundland and Labrador,Knee Replacement,2016,70,127,269,498
Newfoundland and Labrador,Knee Replacement,2017,66,145,291,527
Newfoundland and Labrador,Knee Replacement,2018,75,132,248,521
Newfoundland and Labrador,Knee Replacement,2019,72,133,280,546
Newfoundland and Labrador,Knee Replacement,2020,21,286,461,229
Newfoundland and Labrador,Knee Replacement,2021,44,210,589,360
Newfoundland and Labrador,Radiation Therapy,2009,88,9,33,811
Newfoundland and Labrador,Radiation Therapy,2010,94,14,27,382
Newfoundland and Labrador,Radiation Therapy,2011,96,14,26,500
Newfoundland and Labrador,Radiation Therapy,2012,98,8,19,410
Newfoundland and Labrador,Radiation Therapy,2013,97,14,25,384
Newfoundland and Labrador,Radiation Therapy,2014,98,14,23,368
Newfoundland and Labrador,Radiation Therapy,2015,99,13,20,357
Newfoundland and Labrador,Radiation Therapy,2016,100,12,20,393
Newfoundland and Labrador,Radiation Therapy,2017,100,12,20,428
Newfoundland and Labrador,Radiation Therapy,2018,100,14,22,867
Newfoundland and Labrador,Radiation Therapy,2019,100,16,22,515
Newfoundland and Labrador,Radiation Therapy,2020,99,16,22,528
Newfoundland and Labrador,Radiation Therapy,2021,99,15,21,534
Nova Scotia,CABG,2008,100,26,65,91
Nova Scotia,CABG,2009,100,63,117,118
Nova Scotia,CABG,2010,100,5,23,159
Nova Scotia,CABG,2011,100,10,77,201
Nova Scotia,Cataract Surgery,2008,75,54,199,4686
Nova Scotia,Cataract Surgery,2009,69,67,210,4835
Nova Scotia,Cataract Surgery,2010,67,69,206,5136
Nova Scotia,Cataract Surgery,2011,54,115,292,3663
Nova Scotia,Cataract Surgery,2012,58,102,293,3809
Nova Scotia,Cataract Surgery,2013,62,93,265,4089
Nova Scotia,Cataract Surgery,2014,65,85,206,3865
Nova Scotia,Cataract Surgery,2015,64,93,220,3637
Nova Scotia,Cataract Surgery,2016,65,92,214,4004
Nova Scotia,Cataract Surgery,2017,66,90,211,4047
Nova Scotia,Cataract Surgery,2018,68,76,229,3795
Nova Scotia,Cataract Surgery,2019,60,92,250,3702
Nova Scotia,Cataract Surgery,2020,32,185,394,2031
Nova Scotia,Cataract Surgery,2021,62.4,88,255,3899
Nova Scotia,Hip Fracture Repair,2009,82,21,69,262
Nova Scotia,Hip Fracture Repair,2010,78,22,83,472
Nova Scotia,Hip Fracture Repair,2011,79,21,72,396
Nova Scotia,Hip Fracture Repair,2012,76,24,77,407
Nova Scotia,Hip Fracture Repair,2013,82,22,67,448
Nova Scotia,Hip Fracture Repair,2014,76,26,68,388
Nova Scotia,Hip Fracture Repair,2015,85,22,60,435
Nova Scotia,Hip Fracture Repair,2016,85,21,56,294
Nova Scotia,Hip Fracture Repair,2017,87.16,21,55,483
Nova Scotia,Hip Fracture Repair,2018,91.38,19,45,429
Nova Scotia,Hip Fracture Repair,2019,88.92,20,50,361
Nova Scotia,Hip Fracture Repair,2020,87.7,22,52,488
Nova Scotia,Hip Fracture Repair,2021,88.38,21,51,499
Nova Scotia,Hip Replacement,2008,45,201,642,486
Nova Scotia,Hip Replacement,2009,51,178,543,525
Nova Scotia,Hip Replacement,2010,57,160,512,548
Nova Scotia,Hip Replacement,2011,53,172,498,459
Nova Scotia,Hip Replacement,2012,47,197,547,456
Nova Scotia,Hip Replacement,2013,50,181,534,523
Nova Scotia,Hip Replacement,2014,51,179,569,532
Nova Scotia,Hip Replacement,2015,52,173,611,575
Nova Scotia,Hip Replacement,2016,56,152,606,600
Nova Scotia,Hip Replacement,2017,51,179,665,670
Nova Scotia,Hip Replacement,2018,49,186,568,684
Nova Scotia,Hip Replacement,2019,59,158,442,798
Nova Scotia,Hip Replacement,2020,47,190,474,390
Nova Scotia,Hip Replacement,2021,59,152,608,564
Nova Scotia,Knee Replacement,2008,46,213,647,660
Nova Scotia,Knee Replacement,2009,47,195,576,697
Nova Scotia,Knee Replacement,2010,42,218,582,841
Nova Scotia,Knee Replacement,2011,36,252,573,775
Nova Scotia,Knee Replacement,2012,33,302,598,761
Nova Scotia,Knee Replacement,2013,36,272,632,846
Nova Scotia,Knee Replacement,2014,37,251,734,922
Nova Scotia,Knee Replacement,2015,36,271,727,934
Nova Scotia,Knee Replacement,2016,38,260,764,1001
Nova Scotia,Knee Replacement,2017,34,283,740,968
Nova Scotia,Knee Replacement,2018,47,194,581,1244
Nova Scotia,Knee Replacement,2019,47,195,531,1331
Nova Scotia,Knee Replacement,2020,31,270,652,545
Nova Scotia,Knee Replacement,2021,50.7,179,658,946
Nova Scotia,Radiation Therapy,2009,62,21,49,1330
