Reporting level,Province/territory,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2012,Days,301
Provincial,Alberta,n/a,Knee Replacement,Volume,2012,Number of cases,2850
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2012,Proportion,97
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2012,Days,7
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2012,Days,22
Provincial,Alberta,n/a,Radiation Therapy,Volume,2012,Number of cases,3564
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2012,Proportion,80
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2012,Hours,24
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2012,Hours,69
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2012,Number of cases,1213
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2012,Proportion,74
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2012,Hours,30
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2012,Hours,74
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,1048
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2012,Proportion,69
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2012,Days,78
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2012,Days,209
Provincial,Alberta,n/a,Cataract Surgery,Volume,2012,Number of cases,10557
Provincial,Alberta,n/a,CABG,50th percentile,2012,Days,11
Provincial,Alberta,n/a,CABG,90th percentile,2012,Days,84
Provincial,Alberta,n/a,CABG,Volume,2012,Number of cases,466
Provincial,Alberta,n/a,MRI Scan,50th percentile,2012,Days,85
Provincial,Alberta,n/a,MRI Scan,90th percentile,2012,Days,261
Provincial,Alberta,n/a,MRI Scan,Volume,2012,Number of cases,29240
Provincial,Alberta,n/a,CT Scan,50th percentile,2012,Days,14
Provincial,Alberta,n/a,CT Scan,90th percentile,2012,Days,36
Provincial,Alberta,n/a,CT Scan,Volume,2012,Number of cases,42978
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2013,Proportion,80
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2013,Days,108
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2013,Days,252
Provincial,Alberta,n/a,Hip Replacement,Volume,2013,Number of cases,1865
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2013,Proportion,72
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2013,Days,127
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2013,Days,294
Provincial,Alberta,n/a,Knee Replacement,Volume,2013,Number of cases,2962
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2013,Proportion,98
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2013,Days,7
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2013,Days,21
Provincial,Alberta,n/a,Radiation Therapy,Volume,2013,Number of cases,3556
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2013,Proportion,85
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2013,Hours,22
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2013,Hours,60
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2013,Number of cases,1300
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2013,Proportion,76
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2013,Hours,28
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2013,Hours,69
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,1122
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2013,Proportion,66
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2013,Days,79
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2013,Days,212
Provincial,Alberta,n/a,Cataract Surgery,Volume,2013,Number of cases,10514
Provincial,Alberta,n/a,CABG,50th percentile,2013,Days,12
Provincial,Alberta,n/a,CABG,90th percentile,2013,Days,101
Provincial,Alberta,n/a,CABG,Volume,2013,Number of cases,465
Provincial,Alberta,n/a,MRI Scan,50th percentile,2013,Days,80
Provincial,Alberta,n/a,MRI Scan,90th percentile,2013,Days,247
Provincial,Alberta,n/a,MRI Scan,Volume,2013,Number of cases,55288
Provincial,Alberta,n/a,CT Scan,50th percentile,2013,Days,13
Provincial,Alberta,n/a,CT Scan,90th percentile,2013,Days,43
Provincial,Alberta,n/a,CT Scan,Volume,2013,Number of cases,65318
Provincial,Alberta,n/a,Breast Cancer Surgery,50th percentile,2013,Days,15
Provincial,Alberta,n/a,Breast Cancer Surgery,90th percentile,2013,Days,40
Provincial,Alberta,n/a,Breast Cancer Surgery,Volume,2013,Number of cases,1169
Provincial,Alberta,n/a,Bladder Cancer Surgery,50th percentile,2013,Days,28
Provincial,Alberta,n/a,Bladder Cancer Surgery,90th percentile,2013,Days,57
Provincial,Alberta,n/a,Bladder Cancer Surgery,Volume,2013,Number of cases,477
Provincial,Alberta,n/a,Colorectal Cancer Surgery,50th percentile,2013,Days,20
Provincial,Alberta,n/a,Colorectal Cancer Surgery,90th percentile,2013,Days,46
Provincial,Alberta,n/a,Colorectal Cancer Surgery,Volume,2013,Number of cases,476
Provincial,Alberta,n/a,Lung Cancer Surgery,50th percentile,2013,Days,41
Provincial,Alberta,n/a,Lung Cancer Surgery,90th percentile,2013,Days,85
Provincial,Alberta,n/a,Lung Cancer Surgery,Volume,2013,Number of cases,253
Provincial,Alberta,n/a,Prostate Cancer Surgery,50th percentile,2013,Days,41
Provincial,Alberta,n/a,Prostate Cancer Surgery,90th percentile,2013,Days,86
Provincial,Alberta,n/a,Prostate Cancer Surgery,Volume,2013,Number of cases,633
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2014,Proportion,87
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2014,Days,90
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2014,Days,204
Provincial,Alberta,n/a,Hip Replacement,Volume,2014,Number of cases,1890
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2014,Proportion,81
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2014,Days,99
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2014,Days,238
Provincial,Alberta,n/a,Knee Replacement,Volume,2014,Number of cases,2922
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2014,Proportion,97
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2014,Days,7
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2014,Days,23
Provincial,Alberta,n/a,Radiation Therapy,Volume,2014,Number of cases,3732
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2014,Proportion,82
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2014,Hours,23
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2014,Hours,61
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2014,Number of cases,1373
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2014,Proportion,75
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2014,Hours,30
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2014,Hours,69
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,1238
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2014,Proportion,71
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2014,Days,73
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2014,Days,202
Provincial,Alberta,n/a,Cataract Surgery,Volume,2014,Number of cases,11348
Provincial,Alberta,n/a,CABG,50th percentile,2014,Days,6
Provincial,Alberta,n/a,CABG,90th percentile,2014,Days,60
Provincial,Alberta,n/a,CABG,Volume,2014,Number of cases,542
Provincial,Alberta,n/a,MRI Scan,50th percentile,2014,Days,60
Provincial,Alberta,n/a,MRI Scan,90th percentile,2014,Days,214
Provincial,Alberta,n/a,MRI Scan,Volume,2014,Number of cases,61371
Provincial,Alberta,n/a,CT Scan,50th percentile,2014,Days,12
Provincial,Alberta,n/a,CT Scan,90th percentile,2014,Days,44
Provincial,Alberta,n/a,CT Scan,Volume,2014,Number of cases,67521
Provincial,Alberta,n/a,Breast Cancer Surgery,50th percentile,2014,Days,20
Provincial,Alberta,n/a,Breast Cancer Surgery,90th percentile,2014,Days,47
Provincial,Alberta,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,1169
Provincial,Alberta,n/a,Bladder Cancer Surgery,50th percentile,2014,Days,29
Provincial,Alberta,n/a,Bladder Cancer Surgery,90th percentile,2014,Days,64
Provincial,Alberta,n/a,Bladder Cancer Surgery,Volume,2014,Number of cases,488
Provincial,Alberta,n/a,Colorectal Cancer Surgery,50th percentile,2014,Days,24
Provincial,Alberta,n/a,Colorectal Cancer Surgery,90th percentile,2014,Days,56
Provincial,Alberta,n/a,Colorectal Cancer Surgery,Volume,2014,Number of cases,518
Provincial,Alberta,n/a,Lung Cancer Surgery,50th percentile,2014,Days,35
Provincial,Alberta,n/a,Lung Cancer Surgery,90th percentile,2014,Days,68
Provincial,Alberta,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,259
Provincial,Alberta,n/a,Prostate Cancer Surgery,50th percentile,2014,Days,39
Provincial,Alberta,n/a,Prostate Cancer Surgery,90th percentile,2014,Days,87
Provincial,Alberta,n/a,Prostate Cancer Surgery,Volume,2014,Number of cases,567
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2015,Proportion,83
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2015,Days,93
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2015,Days,209
Provincial,Alberta,n/a,Hip Replacement,Volume,2015,Number of cases,1895
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2015,Proportion,79
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2015,Days,106
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2015,Days,237
Provincial,Alberta,n/a,Knee Replacement,Volume,2015,Number of cases,3108
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2015,Proportion,98
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2015,Days,7
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2015,Days,20
Provincial,Alberta,n/a,Radiation Therapy,Volume,2015,Number of cases,3897
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2015,Proportion,86
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2015,Hours,22
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2015,Hours,59
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2015,Number of cases,1359
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2015,Proportion,79
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2015,Hours,27
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2015,Hours,65
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,1201
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2015,Proportion,64
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2015,Days,87
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2015,Days,224
Provincial,Alberta,n/a,Cataract Surgery,Volume,2015,Number of cases,11145
Provincial,Alberta,n/a,CABG,50th percentile,2015,Days,6
Provincial,Alberta,n/a,CABG,90th percentile,2015,Days,41
Provincial,Alberta,n/a,CABG,Volume,2015,Number of cases,540
Provincial,Alberta,n/a,MRI Scan,50th percentile,2015,Days,90
Provincial,Alberta,n/a,MRI Scan,90th percentile,2015,Days,172
Provincial,Alberta,n/a,MRI Scan,Volume,2015,Number of cases,60651
Provincial,Alberta,n/a,CT Scan,50th percentile,2015,Days,17
Provincial,Alberta,n/a,CT Scan,90th percentile,2015,Days,56
Provincial,Alberta,n/a,CT Scan,Volume,2015,Number of cases,68400
Provincial,Alberta,n/a,Breast Cancer Surgery,50th percentile,2015,Days,20
Provincial,Alberta,n/a,Breast Cancer Surgery,90th percentile,2015,Days,50
Provincial,Alberta,n/a,Breast Cancer Surgery,Volume,2015,Number of cases,1240
Provincial,Alberta,n/a,Bladder Cancer Surgery,50th percentile,2015,Days,28
Provincial,Alberta,n/a,Bladder Cancer Surgery,90th percentile,2015,Days,70
Provincial,Alberta,n/a,Bladder Cancer Surgery,Volume,2015,Number of cases,542
Provincial,Alberta,n/a,Colorectal Cancer Surgery,50th percentile,2015,Days,27
Provincial,Alberta,n/a,Colorectal Cancer Surgery,90th percentile,2015,Days,70
Provincial,Alberta,n/a,Colorectal Cancer Surgery,Volume,2015,Number of cases,495
Provincial,Alberta,n/a,Lung Cancer Surgery,50th percentile,2015,Days,31
Provincial,Alberta,n/a,Lung Cancer Surgery,90th percentile,2015,Days,62
Provincial,Alberta,n/a,Lung Cancer Surgery,Volume,2015,Number of cases,296
Provincial,Alberta,n/a,Prostate Cancer Surgery,50th percentile,2015,Days,43
Provincial,Alberta,n/a,Prostate Cancer Surgery,90th percentile,2015,Days,109
Provincial,Alberta,n/a,Prostate Cancer Surgery,Volume,2015,Number of cases,546
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2016,Proportion,82
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2016,Days,91
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2016,Days,218
Provincial,Alberta,n/a,Hip Replacement,Volume,2016,Number of cases,2043
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2016,Proportion,77
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2016,Days,113
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2016,Days,253
Provincial,Alberta,n/a,Knee Replacement,Volume,2016,Number of cases,3174
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2016,Proportion,99
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2016,Days,7
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2016,Days,20
Provincial,Alberta,n/a,Radiation Therapy,Volume,2016,Number of cases,4071
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2016,Proportion,91
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2016,Hours,20
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2016,Hours,47
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2016,Number of cases,1422
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2016,Proportion,86
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2016,Hours,25
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2016,Hours,51
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,1261
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2016,Proportion,58
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2016,Days,92
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2016,Days,243
Provincial,Alberta,n/a,Cataract Surgery,Volume,2016,Number of cases,11770
Provincial,Alberta,n/a,CABG,50th percentile,2016,Days,6
Provincial,Alberta,n/a,CABG,90th percentile,2016,Days,42
Provincial,Alberta,n/a,CABG,Volume,2016,Number of cases,524
Provincial,Alberta,n/a,MRI Scan,50th percentile,2016,Days,85
Provincial,Alberta,n/a,MRI Scan,90th percentile,2016,Days,242
Provincial,Alberta,n/a,MRI Scan,Volume,2016,Number of cases,59916
Provincial,Alberta,n/a,CT Scan,50th percentile,2016,Days,27
Provincial,Alberta,n/a,CT Scan,90th percentile,2016,Days,92
Provincial,Alberta,n/a,CT Scan,Volume,2016,Number of cases,80876
Provincial,Alberta,n/a,Breast Cancer Surgery,50th percentile,2016,Days,20
Provincial,Alberta,n/a,Breast Cancer Surgery,90th percentile,2016,Days,49
Provincial,Alberta,n/a,Breast Cancer Surgery,Volume,2016,Number of cases,1074
Provincial,Alberta,n/a,Bladder Cancer Surgery,50th percentile,2016,Days,30
Provincial,Alberta,n/a,Bladder Cancer Surgery,90th percentile,2016,Days,70
Provincial,Alberta,n/a,Bladder Cancer Surgery,Volume,2016,Number of cases,448
Provincial,Alberta,n/a,Colorectal Cancer Surgery,50th percentile,2016,Days,27
Provincial,Alberta,n/a,Colorectal Cancer Surgery,90th percentile,2016,Days,68
Provincial,Alberta,n/a,Colorectal Cancer Surgery,Volume,2016,Number of cases,419
Provincial,Alberta,n/a,Lung Cancer Surgery,50th percentile,2016,Days,33
Provincial,Alberta,n/a,Lung Cancer Surgery,90th percentile,2016,Days,63
Provincial,Alberta,n/a,Lung Cancer Surgery,Volume,2016,Number of cases,290
Provincial,Alberta,n/a,Prostate Cancer Surgery,50th percentile,2016,Days,48
Provincial,Alberta,n/a,Prostate Cancer Surgery,90th percentile,2016,Days,116
Provincial,Alberta,n/a,Prostate Cancer Surgery,Volume,2016,Number of cases,571
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2017,Proportion,73.2
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2017,Days,121
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2017,Days,251
Provincial,Alberta,n/a,Hip Replacement,Volume,2017,Number of cases,2024
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2017,Proportion,66.6
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2017,Days,143
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2017,Days,280
Provincial,Alberta,n/a,Knee Replacement,Volume,2017,Number of cases,3035
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2017,Proportion,99
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2017,Days,6
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2017,Days,18
Provincial,Alberta,n/a,Radiation Therapy,Volume,2017,Number of cases,4065
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2017,Proportion,92.30182927
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2017,Hours,18.575
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2017,Hours,44.5
